微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Ioyw0jT4E,【#多国航班宣布避开两伊领空#】目前，已有新加坡航空、马来西亚航空、大韩航空等多国航空公司对航线进行调整，避开伊朗和伊拉克领空。此前，俄罗斯已建议俄各航空公司不要使用伊朗、伊拉克、波斯湾和阿曼湾空域。美国也针对该地区发布紧急限制。中国民航主管部门也在密切关注中东地区航空安全形势。（央视军事、中新网） 原图 ,,http://wx3.sinaimg.cn/large/a716fd45ly1gapbmpov12j20xc0m8tb2.jpg,无,无,2020-01-08 18:19,微博 weibo.com,112127,1072,3148
IoymaozTE,【#超热闹的贵州天气#：雷雨、冰雹、彩虹、晚霞齐上阵】6日，从中午到傍晚，贵州多地出现乌云、雷电、冰雹、晚霞、乳状云、彩虹，期间还伴随大风和短时强降水天气。短短几小时，天空可谓“热闹非凡”。气象专家认为，本次雷雨天气主要是近日白天气温较高，地面聚集的能量较大，遇到冷暖空气交汇，出现雷电等强对流天气。http://t.cn/Ais6k8ki ,,无,无,无,2020-01-08 17:55,微博 weibo.com,3386,476,529
Ioy4bgP7i,【#乌克兰公布失事客机遇难者名单#：伊朗82人 加拿大63人】俄罗斯卫星通讯社8日援引乌克兰外交部消息称，乌克兰国际航空公司波音737客机在伊朗坠毁，共造成176人身亡。遇难者包括82名伊朗人、63名加拿大人、11名乌克兰人、10名瑞典人、4名阿富汗人、3名德国人和3名英国人。伊朗救援部门已找到失事波音737客机黑匣子，已送往执法机关等待进一步调查。http://t.cn/AisKiMzC 原图 ,,http://wx3.sinaimg.cn/large/a716fd45ly1gap9oytau5j20di09on4j.jpg,无,无,2020-01-08 17:11,微博 weibo.com,69483,872,3264
IoxN6sbor,【#外交部回应乌克兰客机坠毁#：沉痛哀悼，尚无中国公民乘坐此次航班的通报】据伊朗媒体报道，1月8日晨，乌克兰航空公司一架波音737客机在伊朗德黑兰霍梅尼国际机场起飞后不久坠毁，#乌克兰坠机乘客全部遇难#。对此，耿爽表示：中方向遇难者表示沉痛哀悼，向遇难者家属表示深切慰问，希望有关方面尽快查清事故原因。事故发生后，中国驻乌克兰使领馆已联系乌有关部门核实情况。目前，尚未收到中国公民乘坐此次航班的通报。如有进一步消息会及时发布。（人民日报记者吴刚） 原图 ,,http://wx2.sinaimg.cn/large/a716fd45ly1gap8h5er7vj20fa0cm3z3.jpg,无,无,2020-01-08 16:29,微博 weibo.com,9030,404,854
IoxJwxfWW,【壮观！#贺兰山冰瀑仿如冰河世纪#】近日，宁夏贺兰山岩画景区内，自然山泉冻结冰瀑和人造冰瀑景观相结合，形成多处冰瀑景观，山间形态各异的冰挂、冰柱蔚为壮观，仿如冰河世纪。（新华视点）  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/a716fd45ly1gap88cotqnj20j60srdj6.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gap88cpanhj20j60sr782.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gap88cqsqmj20j60srwjl.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gap88conoej20j60bs76g.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gap88cqcwcj20j60csmyk.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gap88cpl9fj20j60bfmyn.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gap88cr6ezj20j60asjtj.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gap88cune5j20j60srdjd.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gap88cu49ej20j60srn1w.jpg",无,无,2020-01-08 16:20,微博 weibo.com,4583,944,933
Ioxtv7g5Q,【侵害用户权益！#工信部再通报15款APP#】8日，工信部发布关于侵害用户权益行为的APP（第二批）通报，将第二批发现存在问题且未完成整改的15款APP向社会通报，其中包括：luckin coffee、天涯社区、风行视频、一点资讯、拉勾招聘等。详戳↓↓工信部通报第二批侵害用户权益行为APP 15款产品在列  原图 ,,http://wx3.sinaimg.cn/large/a716fd45ly1gap72ww8hxj20u01nyn7h.jpg,无,无,2020-01-08 15:40,微博 weibo.com,5288,1112,1011
IoxhDD1Fm,【转扩这个电话！#中驻伊朗大使馆发布安全提醒#】近日，伊朗革命卫队高级将领苏莱曼尼在伊拉克遇袭身亡。1月8日凌晨，伊朗革命卫队发表声明，向美国驻伊拉克军事基地发动了导弹袭击。中国驻伊朗大使馆提醒在伊朗中国公民和机构密切关注地区安全形势，提高警惕，注意安全防范。如遇危险或突发情况，请及时报警并与中国驻伊朗大使馆联系。外交部全球领事保护与服务应急热线：+86-10-12308或+86-10-59913991；中国驻伊朗大使馆领事保护与协助电话：+98-9122176035。http://t.cn/AisKAOpL [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/a716fd45ly1gap682njq9j20u01bi0y1.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gap682jp7fj20el0ept9g.jpg",无,无,2020-01-08 15:11,微博 weibo.com,60614,3563,2885
Iox9eEm5s,【#2020为梦想出征#】今年，我国将全面建成小康社会，实现第一个百年奋斗目标；中国航天重头戏陆续揭幕：空间站建设、北斗全球组网、探月工程三期、首次火星探测；中国体育代表团将奋战东京奥运会；预计年底实现全国所有地级市覆盖5G网络...2020，让我们只争朝夕，不负韶华！转发微博，一起见证！  [组图共6张] 原图 ,,"http://ww1.sinaimg.cn/large/a716fd45ly1gap5imhhigj20u00u04kz.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gap5imtl0fj20u00u0e81.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gap5imaztvj20u00u0at5.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gap5immt1gj20u00u0nnf.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gap5img5f4j20u00u0kbi.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gap5imtvhxj20u00u0qr1.jpg",无,无,2020-01-08 14:50,微博 weibo.com,3192,1105,620
IowV30Q69,【伊朗：#乌克兰客机因发动机故障坠毁#】据伊朗伊斯兰共和国通讯社报道，伊朗道路与城市建设部通信与信息中心负责人卡西姆·比西当地时间8号表示，一架乌克兰波音737客机从德黑兰起飞不久后坠落的原因，为发动机故障导致的机体起火，如果飞机坠落是因为被导弹击中，机体肯定会在空中就爆炸了。（央视）  原图 ,,http://wx3.sinaimg.cn/large/a716fd45ly1gap4khd7suj20io0aiq4r.jpg,无,无,2020-01-08 14:15,微博 weibo.com,2486,215,553
IowzCrJ7z,【超有爱！#数学老师为全班39人画肖像评语#】洪燕是杭州市景成实验学校106班的班主任兼数学老师。这学期，她给全班39个孩子画了肖像画。一张生动的漫画肖像，再配上简洁的文字评价，就是她送给孩子的期末评语。洪老师说，画全班像用了一个学期，每个孩子都是不一样的小精灵。杭州数学老师在朋友圈晒出39张图后，家长微信群就炸锅了……  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/a716fd45ly1gap33hbsk0j20u00k2jtg.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gap33h6cxaj20u00k2q4u.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gap33h6doij20u00k20uf.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gap33h73jzj20u00k2q5w.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gap33h6v76j20u00k20ul.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gap33h6njpj20u00k2ac1.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gap33hb6s9j20u00k2mzl.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gap33hd89xj20ms0jldho.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gap33hdx4wj20u00rljts.jpg",无,无,2020-01-08 13:23,微博 weibo.com,12024,1743,1372
IowjYF1FK,【#西安弑师案嫌疑人被抓#】据@西安经开公安 ，2020年1月2日，西安市第六十六中学发生一起刑事案件，致一名女教师死亡，犯罪嫌疑人李某某系该校在校学生，作案后潜逃。在宝鸡市和西安市警方通力合作下，1月8日凌晨四时许在扶风县将犯罪嫌疑人李某某抓获。目前，案件正在进一步侦办中。  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/a716fd45ly1gap1zjl5ivj20mi095q3z.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gap1zq2or3j20ob0obk0y.jpg",无,无,2020-01-08 12:44,微博 weibo.com,23990,701,1676
Iow5Gb2WA,【#乌克兰客机坠毁画面#】伊朗塔斯尼姆通讯社消息，一架乌克兰客机在伊朗德黑兰霍梅尼国际机场附近坠毁，飞机型号为波音737，起飞后很快坠毁。初步报告称由于技术问题导致坠机。现场视频↓↓央视新闻的微博视频  ,,无,无,无,2020-01-08 12:09,微博 weibo.com,7648,2296,985
IovWrgNyx,【#载180人乌克兰客机在德黑兰坠毁#】伊朗塔斯尼姆通讯社消息，一架乌克兰客机在伊朗德黑兰霍梅尼国际机场附近坠毁，飞机型号为波音737，起飞后很快坠毁。初步报告称由于技术问题导致坠机。  原图 ,,http://wx1.sinaimg.cn/large/a716fd45ly1gap0q4rgsej20io0aiq4r.jpg,无,无,2020-01-08 11:46,微博 weibo.com,5713,793,1190
IovVCpf5s,【驻伊拉克基地内#一美空军飞机被伊朗导弹摧毁#】据环球网，俄罗斯卫星网8日援引黎巴嫩“广场”电视台（Al Mayadeen）报道称，美国空军一架飞机在伊拉克阿萨德空军基地跑道上被伊朗导弹摧毁。  原图 ,,http://wx2.sinaimg.cn/large/a716fd45ly1gap09vjrm3j20c80c8tdp.jpg,无,无,2020-01-08 11:44,微博 weibo.com,46741,815,2281
IovQX8idz,【#美伊紧张引发黄金市场波动#】自美国发动空袭杀死伊朗将军苏莱马尼后，中东地区安全局势呈高度紧张，中东黄金市场剧烈波动。3日苏莱马尼被杀当天，迪拜22K金价格跳涨到每克176.5迪拉姆，创2018年1月来新高。4日更上涨到每克179迪拉姆、约合人民币338元。#黄金原油大涨#  人民日报的微博视频  ,,无,无,无,2020-01-08 11:33,微博视频,2520,366,381
IovFV4MQi,【#伊朗外长称自卫行动已经结束#，不寻求战争】刚刚，伊朗外长扎里夫称，当地时间今晚，伊朗根据联合国宪章采取了成比例的自卫行动并且已经结束，不寻求事态升级或战争，但是将捍卫自己的利益不受侵犯。@中国日报网  原图 ,,http://wx1.sinaimg.cn/large/a716fd45ly1gaoz5mcbm7j20ob0obk0y.jpg,无,无,2020-01-08 11:05,微博 weibo.com,10742,962,1345
IovDCjxbm,【#特朗普回应伊朗导弹袭击#：“我们有最强军队”，当地时间明早将发表声明】据环球网，在结束与国务卿蓬佩奥和防长埃斯珀长谈后，特朗普表示，伊朗发射了数枚导弹，目前伤亡和损失评估正在进行中。“到目前为止，还好。不论在世界任何地方，我们都有战力最强、装备最先进的军队”。  原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1gap0215pcdj20i20c5djn.jpg,无,无,2020-01-08 11:00,微博 weibo.com,282802,3214,11252
Iovxc2Pio,【#美空军基地被袭内部画面#曝光：现场导弹声不断，士兵大喊大叫】1月8日，美军驻伊拉克“阿萨德空军基地”遭到“数十枚导弹”袭击。伊拉克媒体曝光了该基地遇袭时的内部画面，视频内导弹声不断，士兵大喊大叫。#伊朗声明袭击是为苏莱马尼报仇#环视频的秒拍视频  ,,无,无,无,2020-01-08 10:44,微博 weibo.com,77969,1357,3414
Iovq9zeFa,【#美航空局禁止美航班在两伊上空飞行#】据美国联邦航空局官方推特消息，美国联邦航空局称，考虑到“军事活动增加以及有识别错误的可能性存在”，禁止美国民用飞机在伊朗、伊拉克、波斯湾和阿曼湾上空飞行。（海外网）#美国联邦航空管理局发布禁飞命令#  原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1gaoy02oc13j20d608874g.jpg,无,无,2020-01-08 10:27,微博 weibo.com,6743,273,679
IovgkgJC7,【#最高检依法对陈国强决定逮捕#】陕西省人民政府原党组成员、副省长陈国强涉嫌受贿一案，由国家监察委员会调查终结，移送检察机关审查起诉。日前，最高人民检察院依法以涉嫌受贿罪对陈国强作出逮捕决定。该案正在进一步办理中。  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/a716fd45ly1gaoxe353xkj215z0kxk0g.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gaoxti3lfkj20dw099dob.jpg",无,无,2020-01-08 10:02,微博 weibo.com,2296,232,445
Iovgfeq7W,【#最高检依法对赵正永决定逮捕#】全国人民代表大会原内务司法委员会副主任委员、陕西省委原书记赵正永涉嫌受贿一案，由国家监察委员会调查终结，移送检察机关审查起诉。日前，最高人民检察院依法以涉嫌受贿罪对赵正永作出逮捕决定。该案正在进一步办理中。  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/a716fd45ly1gaoxdps998j21610l247p.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gaoxtqiuv4j20go0b4tkl.jpg",无,无,2020-01-08 10:02,微博 weibo.com,2383,177,330
Iov8ZuxVU,【#权健公司等组织领导传销活动案宣判#：权健公司被判罚金人民币一亿元，束昱辉有期徒刑九年】据@天津市武清区人民法院 ，2020年1月8日，天津市武清区人民法院对被告单位权健自然医学科技发展有限公司（以下简称权健公司）及被告人束昱辉等12人组织、领导传销活动一案依法公开宣判，认定被告单位权健公司及被告人束昱辉等12人均构成组织、领导传销活动罪，依法判处被告单位权健公司罚金人民币一亿元，判处被告人束昱辉有期徒刑九年，并处罚金人民币五千万元；对其他11名被告人分别判处三年至六年不等的有期徒刑，并处罚金；对违法所得予以追缴，上缴国库。被告人束昱辉当庭表示认罪服法。 原图 ,,http://wx2.sinaimg.cn/large/a716fd45ly1gaowslcayoj20k80k5mzl.jpg,无,无,2020-01-08 09:44,微博 weibo.com,14244,831,1727
Iov5ZEwbR,【转发参与#春联大作战#，白敬亭手写春联等你拿！】@人民日报 联合@新世相 邀请演员@白敬亭 写的春联是：碧水飞鸿声声笑，青山燃锦簇簇丹。横批：春光大好。祝你眼里有光，生活充满希望！转发并@ 三位好友，说出新年目标，将有机会获得白敬亭书写的春联！快来参加吧↓#家在中国#  http://t.cn/AisSdaTe  http://t.cn/Ais8Tku7 ,,无,无,无,2020-01-08 09:37,微博视频,58067,51557,5599
Iov1pmI0D,【转发自测！#手机屏幕使用时间等级测试#，你是第几级？】中国青年报一项调查显示，#过半大学生每天使用手机超5小时#。你每天使用手机多长时间？你是“小小眼睛有大大疑惑”的“2G少年”？是滴眼药水也要玩手机的“拼命三郎”？还是为APP设使用时限的自律者？戳图自测↓看看你在第几级  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/a716fd45ly1gaow8kvmm5j20hs0qnqbo.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gaow8ks5tqj20hs0qngul.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gaow8l26cpj20hs0qndp9.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gaow8krinuj20hs0qnn6l.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gaow8kvhdkj20m90m9jza.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gaow8l9d8aj20hs0qnti9.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gaow8l92evj20hs0qn12f.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gaow8le8ynj20hs0qnn6z.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gaow8ledwwj20hs0qntj9.jpg",无,无,2020-01-08 09:26,微博 weibo.com,2004,957,654
IouF1r5KI,【#伊朗声明袭击是为苏莱马尼报仇#，#美国防部正评估局势及回应措施#】伊朗伊斯兰革命卫队刚刚发表声明，宣布对驻伊拉克美军阿萨德空军基地的袭击，是在为3日遭美军空袭身亡的革命卫队下属“圣城旅”指挥官苏莱马尼报仇。美国有线电视新闻网报道，美国国防部已经证实，伊朗向伊拉克的美军和联军发射了导弹。五角大楼：“我们正在评估局势以及回应措施，我们将采取一切必要措施，保护和捍卫该地区的美国人员、合作伙伴和盟友。” 原图 ,,http://wx3.sinaimg.cn/large/a716fd45ly1gaounq2a2zj20c80c8tdp.jpg,无,无,2020-01-08 08:30,微博 weibo.com,134810,1701,5262
IouyfxiTU,【人民日报：消防通道堵局待解】消防通道是生命通道，多堵一分一秒都可能造成生命的消逝。3—5分钟，是#火灾发生后的黄金救援时间#。快一分，就能避免更多损失，挽救更多生命。然而，消防通道被占、影响灭火救援的事件仍时有发生。消防车为何屡遇“拦路虎”？记者日前进行了采访↓ http://t.cn/AisSTOwD ,,无,无,无,2020-01-08 08:14,微博 weibo.com,2720,1124,1148
IouhmCS8h,【快讯：#美军驻伊拉克空军基地遭袭#】#美军驻伊拉克空军基地遭火箭弹袭击#。据外媒，一名驻伊美军高级消息人士称，今天早些时候，伊拉克多个地点都发射了导弹，称这是伊朗对美军的一系列攻击。（央视）环球网的秒拍视频  原图 ,,http://wx3.sinaimg.cn/large/a716fd45ly1gaoszqj4wbj20c80c8tdp.jpg,无,无,2020-01-08 07:32,微博 weibo.com,6428,1065,1260
IoritAO6q,【#中国航天发射2020年开门红#！#通信技术试验卫星五号成功发射#！】1月7日23时20分，我国在西昌卫星发射中心用长征三号乙运载火箭，成功将通信技术试验卫星五号发射升空。卫星顺利进入预定轨道，任务获得圆满成功。通信技术试验卫星五号主要用于卫星通信、广播电视、数据传输等业务，并开展高通量技术试验验证。（人民日报记者余建斌、赵金龙） [组图共4张] 原图 ,,"http://ww3.sinaimg.cn/large/a716fd45ly1gaofstptuvj21400u0npd.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gaofsttcsmj21400u0u0x.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gaofstdm2cj21400u07wh.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gaofzwd4m6j20u018zkjl.jpg",无,无,2020-01-07 23:57,微博 weibo.com,21225,2378,1551
IorcnDoxR,【#你好，明天#】继有明星脚踩高铁桌板后，又有人脚挂飞机座椅。光环有多璀璨，不当行为就有多刺眼；粉丝有多爱慕，失望就有多沉重。明星的不当言行频被曝光，并非小题大作，而是源于反差之下的失落。敬畏这种失落！它能使人更加警醒光环之外的责任。让明星一词如字面意义那样，成为陪伴人奋进的灯盏。  原图 ,,http://wx2.sinaimg.cn/large/a716fd45ly1gaofmzhhugj20sx0mb4dr.jpg,无,无,2020-01-07 23:42,微博 weibo.com,12231,753,1304
Ior3KyDdq,【夜读：遇人藏住事，遇事沉住气，生气压住火】凡尘俗事，纷纷扰扰，总不免令人喜怒哀乐。愿今后的我们都能懂得：遇人藏住事，沟通不逾距，才能让友谊衍生美感；遇事沉住气，咬牙走完全程，才有机会笑到最后；生气压住火，对家人和颜悦色，才是做人最顶级的自律。 【夜读】遇人藏住事，遇事沉住气，生气压住火  ,,无,无,无,2020-01-07 23:20,微博 weibo.com,6233,3679,794
IoqSXfrRx,【痛心！#保护动物大鵟鸟放归后被毒死#，山坡发现上百处投毒点】2019年11月初， 沈阳猛禽救助中心救助的国家二级保护动物大鵟（读音同“狂”）被野放，不料这只大鵟近日疑似被毒死。民警在其死亡点附近发现多处投放的含毒谷物。附近一村民因非法猎捕、杀害国家重点保护的珍贵、濒危野生动物被刑拘。http://t.cn/AisaDyyS [组图共3张] 原图 ,,"http://ww4.sinaimg.cn/large/a716fd45ly1gaodzj846mj20p00gvwhq.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gaodzja64oj20j40dqgny.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gaodzj8zx2j20j80dndjj.jpg",无,无,2020-01-07 22:54,微博 weibo.com,6151,635,1238
IoqBr0KJm,【人民微评：性侵未成年人，出快拳！】性侵未成年人，天理难容，法律更不会袖手旁观。从及时处置，快速办理，到及时立案，#性侵未成年人案件实行一站式取证#，不仅有效震慑不法分子，也是加大力度保护受害者。出重拳，也出快拳，法律惩治犯罪大快人心；重惩治，也重防范，让未成年人健康快乐成长。  原图 ,,http://wx1.sinaimg.cn/large/a716fd45ly1gaocq9sn2ij20dw08m3z0.jpg,无,无,2020-01-07 22:11,微博 weibo.com,19529,1314,1149
IoqpScn85,【#一级演员为临终老人唱西厢记#，老人笑了她却哭了…】2019年12月25日，国家一级演员徐晓飞来到宁波的一间临终病房，为一位老人清唱了一段越剧《西厢记》。老人今年79岁，癌症晚期的她近日病情加重，医生建议放弃创伤性治疗。老人是个越剧迷，其女儿求助志愿者，希望能让老人再听上一段越剧。http://t.cn/AisXITlX ,,无,无,无,2020-01-07 21:42,微博 weibo.com,16704,1101,853
