微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IyGaF98sV,【#全国新增新冠肺炎20例#：武汉4例 #境外输入16例#】3月14日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例20例，新增死亡病例10例（湖北10例），新增治愈出院病例1370例。现有确诊病例10734例（其中重症病例3226例），累计治愈出院病例66911例，累计死亡病例3199例，累计报告确诊病例80844例。湖北新增确诊病例4例（武汉4例），新增治愈出院病例1335例（武汉1181例），新增死亡病例10例（武汉10例），现有确诊病例10431例（武汉9911例），其中重症病例3163例（武汉3058例）。累计治愈出院病例54278例（武汉37632例），累计死亡病例3085例（武汉2456例），累计确诊病例67794例（武汉49999例）。3月14日0—24时，新增报告境外输入确诊病例16例（北京5例，浙江4例，上海3例，甘肃3例，广东1例）。截至3月14日24时，累计报告境外输入确诊病例111例。累计收到港澳台地区通报确诊病例204例：香港特别行政区141例（出院81例，死亡4例），澳门特别行政区10例（出院10例），台湾地区53例（出院20例，死亡1例）。http://t.cn/A6zaxZW2 原图 ,,http://wx4.sinaimg.cn/large/9be419dbly1gcuarre247j20m2139gs1.jpg,无,无,2020-03-15 08:12,微博 weibo.com,573,40,90
IyFTyCGND,【#特朗普新冠病毒检测结果呈阴性#】据美媒报道，特朗普新冠病毒测试结果呈阴性。特朗普新冠病毒测试结果呈阴性  原图 ,,http://wx3.sinaimg.cn/large/9be419dbly1gcu9fkefnaj20dw09rglu.jpg,无,无,2020-03-15 07:30,微博 weibo.com,1146,64,265
IyFM4pkXo,【#西班牙首相妻子感染新冠病毒#】据西班牙首相办公室消息，西班牙首相桑切斯的妻子贝戈尼娅确诊感染新冠病毒。消息还称，目前首相夫妇身体状况良好。西班牙首相妻子感染新冠病毒  ,,无,无,无,2020-03-15 07:11,微博 weibo.com,360,52,76
IyDtCtFaG,【#意大利新增3497例确诊病例# #意大利累计病例破两万#】据BNO新闻报道，意大利新增3497例新冠肺炎确诊病例，累计确诊21157例。新增死亡175例，累计死亡1441例。意大利新增3497例确诊病例 累计确诊21157例  ,,无,无,无,2020-03-15 01:20,微博 weibo.com,834,73,250
IyDe4jjMk,【#特朗普称已做新冠病毒检测#】特朗普证实在当地时间13日晚已经完成新冠病毒检测，正在等待结果。在回答记者关于如何看待美国出现民众抢购食品的现象时，特朗普表示这种行为是可以理解的，他同时建议民众减少如握手等肢体接触。特朗普：我做了新冠病毒检测 还没出结果 张琪liv的微博视频  ,,无,无,无,2020-03-15 00:42,日常 · 视频社区,757,81,233
IyChFB1vE,【#意大利新冠肺炎死亡率破七#】据意大利政府公布的数据，截至3月14日，意大利新冠肺炎确诊病例已达17660例，死亡1266例。根据初步测算，目前意大利新冠肺炎死亡率接近7.17%，这个数字远远高于全球平均3.7%的死亡率。据法国France24电视台网站报道，意大利卫生部门将如此高的死亡率归因于该国老年人较多的人口结构。报道称，大部分死亡患者年龄都在80岁以上，且有基础疾病。http://t.cn/A6zXLHON ,,无,无,无,2020-03-14 22:18,微博 weibo.com,855,70,206
IyC7k73Vt,【#西班牙政府将宣布封锁全国#】据路透社刚刚消息，西班牙一份法令草案显示，该国政府将宣布，除购买食品或药品、住院、上班或其他紧急情况外，所有西班牙人必须待在家中。外媒：西班牙政府将宣布“封锁”全国  ,,无,无,无,2020-03-14 21:52,微博 weibo.com,377,49,85
IyBXiDdfp,【#意大利卫生部副部长确诊新冠肺炎#】据意大利安莎通讯社报道，意大利卫生部副部长Pierpaolo Sileri新冠病毒检测呈阳性。（海外网） 意大利卫生部副部长新冠病毒检测呈阳性  原图 ,,http://wx3.sinaimg.cn/large/9be419dbgy1gcts10wreqj20h80c6jst.jpg,无,无,2020-03-14 21:28,微博 weibo.com,328,18,61
IyAJvsTZ4,【#孝感通报社区一幼儿死亡事件#：其母亲已被警方带走调查】据@孝感发布 ，3月14日12：40许，孝感市高新区理丝社区某楼栋发现一幼儿死亡。据初步了解，该幼儿一岁半左右，由其母邓某某（29岁）独自抚养。社区干部上门排查发现并报案，公安机关已对现场开展勘查，并将其母邓某某带走调查。 http://t.cn/A6z6UPWq ,,无,无,无,2020-03-14 18:21,微博 weibo.com,559,34,124
IyySuDEKW,【#德国扣意大利83万个口罩#进展：获批通关后找不到了】据意大利当地媒体报道，近日意大利戈尔多纳市的一家公司从中国购买的83万个口罩在德国遭到了拦截。公司通过意大利外交部、德国大使馆等部门进行沟通，解释这批口罩只是从德国“过境”而不是从德国“进口”，希望得到放行。最终，该批口罩获得了通关批准，但德国方面则表示：已经不知道口罩在哪里。“我们不知道口罩是不是在德国了，没有人知道它们在哪里，”德国方面说。据悉，这批口罩本计划主要用来捐赠给意大利的医院和民政部门。截至3月13日，意大利确诊新冠肺炎病例17660例，德国确诊3675例。http://t.cn/A6zJD06G 原图 ,,http://wx1.sinaimg.cn/large/9be419dbly1gctege54bcj20rq0j1whe.jpg,无,无,2020-03-14 13:38,微博 weibo.com,2654,338,486
Iyyaywkvw,【美国政府首席传染病专家：#美国疫情或持续8周#】美国联邦政府首席传染病专家、美国国家过敏和传染病研究所（NIAID）所长安东尼·福奇（Anthony Fauci）3月13日表示，美国的新冠肺炎疫情对日常生活的影响可能会持续长达8周。据美国约翰霍普金斯大学的统计数据，截至目前美国国内的确诊病例已突破2000例。但福奇认为，目前美国病例尚未达到峰值，“情况在改善之前肯定会变得更糟糕。”“我们现在处在一个关键时刻——美国一些地区比其他地区更是如此——但总体而言，现在采取的做法有望减弱峰值，这样我们就可以拯救许多生命。”福奇说。http://t.cn/A6zJKE80 ,,无,无,无,2020-03-14 11:49,微博 weibo.com,380,41,116
IyxEK8djB,【#全国新增新冠肺炎11例# #湖北新增4例#】3月13日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例11例，新增死亡病例13例（湖北13例）。现有确诊病例12094例（其中重症病例3610例），累计治愈出院病例65541例，累计死亡病例3189例，累计报告确诊病例80824例。湖北新增确诊病例4例（武汉4例），新增治愈出院病例1390例（武汉1254例），新增死亡病例13例（武汉10例），现有确诊病例11772例（武汉11098例）。累计治愈出院病例52943例（武汉36451例），累计死亡病例3075例（武汉2446例），累计确诊病例67790例（武汉49995例）。新增报告境外输入确诊病例7例（上海4例，甘肃2例，北京1例）。截至3月13日24时，累计报告境外输入确诊病例95例。累计收到港澳台地区通报确诊病例197例：香港特别行政区137例（出院78例，死亡4例），澳门特别行政区10例（出院10例），台湾地区50例（出院20例，死亡1例）。http://t.cn/A6zJU0yf 原图 ,,http://wx4.sinaimg.cn/large/9be419dbly1gct98ytolnj20m2139n3k.jpg,无,无,2020-03-14 10:31,微博 weibo.com,483,69,95
IyuYcaqi5,【#特朗普宣布美国进入国家紧急状态# 斥资500亿美元抗疫】据CNN报道，美东时间13日下午，美国总统特朗普在白宫召开新冠病毒主题记者会，他宣布美国进入“国家紧急状态”以应对新冠肺炎疫情。特朗普表示，这一举措，将有助于获得500亿美元的联邦援助以抗击疫情，他敦促各州立即建立应急中心，并承诺扩大对新冠病毒的检测能力。他说，私人实验室和疫苗开发商将能够在一个月内提供500万份病毒测试。此外，还将设立非下车检测点，以便让更多的人更快地获得检测。http://t.cn/A6zxI6M9 原图 ,,http://wx3.sinaimg.cn/large/9be419dbly1gcsx5lflccj20my0cu17h.jpg,无,无,2020-03-14 03:41,微博 weibo.com,1024,108,204
IytMZEcVw,【#凤凰全球疫情日报#】一图了解最新全球疫情形势：截至北京时间3月13日23时，除中国外，全球119个国家和地区累计确诊57459例，全球多位名人、政要感染新冠肺炎。特朗普将宣布国家进入紧急状态，巴西总统博索纳罗表示未感染新冠病毒。http://t.cn/A67z2NRu  原图 ,,http://wx3.sinaimg.cn/large/9be419dbly1gcsrp7rxanj20u07cgnpd.jpg,无,无,2020-03-14 00:40,微博 weibo.com,283,99,100
IytttE2Kd,【#巴西总统称其新冠病毒检测阴性#】当地时间13日，巴西总统博索纳罗在其社交账号表示，其新冠病毒检测呈阴性。此前一天，巴西总统府社会传播秘书处负责人法比奥·瓦金加藤被确诊引发担忧。本月7至10日，瓦金加藤陪同巴西总统博索纳罗于访问美国，后者在此期间曾与美总统特朗普举行会晤，并共进晚餐。http://t.cn/A6zMdd1K 原图 ,,http://wx2.sinaimg.cn/large/9be419dbly1gcsql5g8ktj20m80etgma.jpg,无,无,2020-03-13 23:52,微博 weibo.com,10677,201,612
IytrcmH4v,【美媒：#特朗普将宣布国家进入紧急状态#】据彭博社报道，美国总统特朗普将宣布国家进入紧急状态，以加速应对新冠病毒疫情。 特朗普先前发布一条推特，预告他将在当地时间13日下午3点召开新闻发布会，主题是“新冠病毒”。美媒：特朗普将宣布国家进入紧急状态  原图 ,,http://wx1.sinaimg.cn/large/9be419dbly1gcsqfj8ebyj20hr09raak.jpg,无,无,2020-03-13 23:47,微博 weibo.com,424,60,135
IysXloZyD,【英媒：#巴西总统新冠病毒检测呈阳性# 7日曾与特朗普共进晚餐】据英国《镜报》刚刚消息，巴西总统博索纳罗新冠病毒检测呈阳性。报道称，他目前正在等待第二次检测的结果，以确认是否确诊（感染新冠肺炎）。报道称，7日晚，博索纳罗还与美国总统特朗普在海湖庄园共进晚餐。  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/9be419dbly1gcsop3emkwj20hm0br3zt.jpg,http://ww3.sinaimg.cn/large/9be419dbly1gcsoceklh2j21900u0ngb.jpg",无,无,2020-03-13 22:33,微博 weibo.com,1104,101,271
IysKbiKzF,【外媒：#巴西总统新冠病毒检测呈阳性# ，系全球首位感染新冠病毒国家首脑】#巴西总统博索纳罗确诊# 据《镜报》报道，巴西总统博索纳罗的新冠病毒检测呈阳性，他成为全球首位被确诊患新冠肺炎的国家首脑。另据美国广播公司12日报道，巴西总统府当天宣布其媒体事务部门负责人法比奥·瓦恩加滕（Fabio Wajngarten）新冠病毒检测呈阳性。他曾随博索纳罗赴美，并和特朗普合影。@人民日报海外版-海外网 原图 ,,http://wx4.sinaimg.cn/large/9be419dbly1gcsndqo0v3j20sg0iywij.jpg,无,无,2020-03-13 22:01,微博 weibo.com,1537,259,384
IysGt5MR7,【#西班牙宣布进入紧急状态#】据西班牙《世界报》报道，西班牙首相佩德罗·桑切斯当地时间13日下午2点半召开新闻发布会，宣布进入紧急状态，以遏制新冠病毒的蔓延。据人民日报此前报道，西班牙较12日13时新增新冠肺炎确诊病例1241例，累计确诊病例达4209例，120人死亡。西班牙宣布进入紧急状态  ,,无,无,无,2020-03-13 21:52,微博 weibo.com,153,32,38
Iysclz0nk,【#新冠肺炎康复者捐献血浆前别吃热干面#】谁可以捐献？怎样预约？有什么注意事项？能否多次捐献？近日，有不少武汉市民在网上咨询新冠肺炎康复者血浆捐献相关问题。武汉血液中心提示：不能空腹捐献，但捐献的前两天饮食要注意，宜清淡，禁忌油腥，尤其注意不能吃热干面，因为芝麻酱的油脂较厚。@武汉发布 http://t.cn/A6zMA2kN ,,无,无,无,2020-03-13 20:37,微博 weibo.com,446,31,66
IyrM8lfZY,【3月13日#凤凰疫情日报#】12号全天，31省市区新增确诊降至个位数，武汉无疫情小区可有序活动；国际方面，对比欧洲失守，韩国新加坡疫情防控较稳。韩国官方宣布大邱、庆北已出现拐点，新加坡表示疫情仍在可控范围内；菲律宾宣布封锁马尼拉，联合国总部一名菲律宾代表确诊感染。@尤志东Anthony 为您整理。#中韩应对新冠肺炎疫情联防联控合作机制# http://t.cn/A6zIrTXD ,,无,无,无,2020-03-13 19:33,微博 weibo.com,149,13,29
Iyr5emDsQ,【#澳大利亚内政部长确诊曾与伊万卡合影# 】澳大利亚内政部长彼得·达顿（Peter Dutton）当地时间13日下午在个人推特上宣布，他的新冠病毒检测呈阳性。近期该部长从美国返澳，一周前他曾与美国、英国、加拿大、新西兰等国官员会面，并与伊万卡及美司法部长近距离合影。4天前还曾出席昆州一所大学的新校区开园仪式。http://t.cn/A6zIOgOo [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/9be419dbly1gcsfzi1wrxj20i10a4n98.jpg,http://ww2.sinaimg.cn/large/9be419dbly1gcsfz7r0gfj20go0b4q44.jpg",无,无,2020-03-13 17:47,微博 weibo.com,827,64,192
IyqMFnGsd,【#援鄂心理医生#：部分患者出现急性惊恐发作，有种濒死感】2月21日，由50位心理学专业医师组成的上海第九批医疗队出征武汉，为在武汉一线的医护、患者、社区工作者提供心理援助。同济大学附属精神卫生中心医生刘亮在接受@凤凰网 连线时，称：“有的患者情绪不好，会出现急性惊恐发作，让他有种濒死感”……#凤凰网隐秘而伟大# #微博纪录片联盟# @微博节目  http://t.cn/A6zIigjd ,,无,无,无,2020-03-13 17:01,社会 · 视频社区,706,181,88
