博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间,二级评论点赞
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,果海鸟不可分,这邮轮上的人该不会全是牺牲品吧,2020-2-10 13:40,83,京夏jx,"
                        京夏jx：日本是在用生命证明气溶胶传播么                    ",2020-2-10 17:27,5
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,式微胡不归mm,拍吧，这个题材适合拍电影,2020-2-10 13:42,92,MyBodyIsCage,"
                        MyBodyIsCage：咱们国家的已经能出十来个剧本了                    ",2020-2-10 13:59,21
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,式微胡不归mm,拍吧，这个题材适合拍电影,2020-2-10 13:42,92,ruru不能等老了才疯狂,"
                        ruru不能等老了才疯狂：背景必须其他国家，要不审批难....                    ",2020-2-10 16:47,7
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,知势研究局,游轮是不可以不开空调的。日本这个做法最终会让3000多人全部感染无一幸免。不妨把这事情假设放在中国，中国又会如何处理呢？,2020-2-10 13:45,10,磨砂星星,"
                        磨砂星星：码头搭帐篷。中国要是这么直接隔离在船上不得被骂死。                    ",2020-2-10 14:13,23
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,知势研究局,游轮是不可以不开空调的。日本这个做法最终会让3000多人全部感染无一幸免。不妨把这事情假设放在中国，中国又会如何处理呢？,2020-2-10 13:45,10,莳花著果,"
                        莳花著果：或者再增派几艘游轮将3000人转移分散放置，尽量降低人群密度                    ",2020-2-10 15:37,7
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,伊文子,为什么不把他们拉到更好的地方隔离？上次看到一个英国爷爷还有基础病都没办法治，就让他们在海上飘,2020-2-10 13:40,24,敌鹿,"
                        敌鹿：民主投票决定不让他们上岸                    ",2020-2-10 13:53,6
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,伊文子,为什么不把他们拉到更好的地方隔离？上次看到一个英国爷爷还有基础病都没办法治，就让他们在海上飘,2020-2-10 13:40,24,sundaysunshine1998,"
                        sundaysunshine1998：为什么武汉要封城是一个道理。。。                    ",2020-2-10 14:19,1
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,海Y清,“钻石公主”号邮轮上其他没被感染的，能出淤泥而不染吗？,2020-2-10 13:41,13,小秦伯,"
                        小秦伯：不一定，船上的空调系统也是可以传播病毒的                    ",2020-2-10 13:42,1
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,海Y清,“钻石公主”号邮轮上其他没被感染的，能出淤泥而不染吗？,2020-2-10 13:41,13,莳花著果,"
                        莳花著果：气溶胶，病毒浓度越来越大，不敢想象啊                    ",2020-2-10 15:34,
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,Jessica__FS,一人确诊多人传染，所以每个人都要自觉不能隐瞒，因为后果真的真的会很严重的,2020-2-10 13:46,5,DL饺子,"
                        DL饺子：关键潜伏期太长了唉                    ",2020-2-10 17:00,
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,三观不正执法者,太集中了,2020-2-10 13:39,7,,,,
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,栩愿树KOP,怎么搞都是死，留在船上恐怕全船都感染了，分批放下来隔离吧，且不论民意如何，单是准备医院床位和隔离房间恐怕都难以做到，3700人啊，哪那么容易弄,2020-2-10 13:59,4,,,,
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,你不得叫我太奶奶呀,公主殿下病的太重了八,2020-2-10 13:40,3,,,,
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,,,,,,,,
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,StevenYiCi,百步亭了解下,2020-2-10 07:55,186,linsuzuki,"
                        linsuzuki：回复@中年秃顶皮皮石:下去领吧                    ",2020-2-10 08:23,25
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,StevenYiCi,百步亭了解下,2020-2-10 07:55,186,特没谱啊,"
                        特没谱啊：回复@中年秃顶皮皮石:找你爹领                    ",2020-2-10 08:32,22
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,岩石颂,真实情况要严重的多,2020-2-10 08:16,114,_Kolia,"
                        _Kolia：不敢看武汉人的朋友圈微博 那都是咱们的兄弟姐妹啊                    ",2020-2-10 09:36,10
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,岩石颂,真实情况要严重的多,2020-2-10 08:16,114,硬币的星空,"
                        硬币的星空：武汉百步亭当初办万家宴，有住户求助，大面积感染，但地方每天只给少量名额确诊，给他们封在那里                    ",2020-2-10 11:16,21
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,没有脑袋的小泽,武软,2020-2-10 07:56,79,没有脑袋的小泽,"
                        没有脑袋的小泽：学校领导真的有够烂的                    ",2020-2-10 08:11,2
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,陈10086书店,百步亭，百步亭！,2020-2-10 07:57,75,Ghosttoto,"
                        Ghosttoto：回复@淡水爆料:滚                    ",2020-2-10 16:33,3
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,雪泥鸿爪,2月底能上班吗？,2020-2-10 07:55,13,Jay-Tice,"
                        Jay-Tice：内蒙古还没有复工？江浙沪很多企业都开工了                    ",2020-2-10 08:08,1
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,小安逸F,从小喜欢看推理悬疑侦探类小说，关于病毒是怎么来的，排除阴谋论我总结以下几点，1-蝙蝠通过空调管路进入病毒实验室然后出来被抓野生动物的抓住拿去售卖然后……2-实验室周围有养殖野生动物的被感染后拿去售卖然后……3-实验室把买来做实验的动物拿去售卖然后……,2020-2-10 08:45,10,驰不迟,"
                        驰不迟：一般病毒研究都是生物安全防护三级或者四级实验室中进行，先去去看看这两种级别实验室的设计和操作要求再来发表您的想法吧                    ",2020-2-10 15:20,1
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,小安逸F,从小喜欢看推理悬疑侦探类小说，关于病毒是怎么来的，排除阴谋论我总结以下几点，1-蝙蝠通过空调管路进入病毒实验室然后出来被抓野生动物的抓住拿去售卖然后……2-实验室周围有养殖野生动物的被感染后拿去售卖然后……3-实验室把买来做实验的动物拿去售卖然后……,2020-2-10 08:45,10,Lf君啊,"
                        Lf君啊：你的开头是喜欢看推理类悬疑侦探小说！                    ",2020-2-10 19:34,
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,风华V博,这个图做的不太好,2020-2-10 07:57,8,轱辘鱼打轱辘,"
                        轱辘鱼打轱辘：这个图没问题，一个也没少                    ",2020-2-10 08:20,1
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,风华V博,这个图做的不太好,2020-2-10 07:57,8,正版不羡明月,"
                        正版不羡明月：回复@轱辘鱼打轱辘:哦哦 看到了                    ",2020-2-10 12:40,
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,我们是小孩都曾是小孩,求关注一下广西，又穷又没热度，没有n95防护服护目镜，只能用塑料袋自制防护服，因为防护不到位，已经有医护人员被感染。目前，形势严峻，精兵强将出征湖北驰援武汉，还有捐赠了很多物资抗疫。但现在广西好些医院物资短缺，急需援助，别让中国失去更多的好医生，希望有能力的人能伸出援助之手,2020-2-10 09:06,27,陈先生的L小姐姐,"
                        陈先生的L小姐姐：现在很多医护都支援疫情重灾区了。可是广西这边今天有不少复工的了。宅在家不敢出门。也不懂后面到底会怎样。。。哎                    ",2020-2-10 17:11,
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,82年的山泉水666,地图做得失误，海南没有,2020-2-10 07:58,6,随风而逝我去2000,"
                        随风而逝我去2000：擦亮双眼看仔细，别上来就喷                    ",2020-2-10 08:53,
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,Niahui哟喂,今天已经复工了,2020-2-10 07:55,1,勿语limit,"
                        勿语limit：并且买不到口罩                    ",2020-2-10 07:57,1
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,-一只小飞侠,凤凰，早上好，我们都要加油,2020-2-10 07:56,2,,,,
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,saxaK,我想上班,2020-2-10 07:56,1,,,,
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,成都双流房产经纪人,百步亭都没人管了,2020-2-10 09:02,3,,,,
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,咕噜蛋蛋呀,今天开始上班，那么感觉未来5-10日左右很危险啊,2020-2-10 07:57,1,,,,
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,安赛托,武汉这边好些小区一天只有一个床位名额了解一下？限制上报人数了确诊人数当然会下降啊，多少人排着队呢。,2020-2-10 11:45,1,,,,
https://weibo.com/2615417307/ItvwMxq1f,,,,,,,,,,,,,,,,,
https://weibo.com/2615417307/ItuVzEWcJ,,,,,,,,,,矿泉水十三,今天不破三万，这数据都是有讲究的吧,2020-2-10 06:27,212,,,,
https://weibo.com/2615417307/ItuVzEWcJ,,,,,,,,,,界主林天宝,又在造假，湖北的确诊患者新增是3200，疑似病例又加了5000，别玩文字游戏了，没人会相信的。,2020-2-10 07:04,57,,,,
https://weibo.com/2615417307/ItuVzEWcJ,,,,,,,,,,季节__,疑似终于低于2万了,2020-2-10 06:26,19,,,,
https://weibo.com/2615417307/ItuVzEWcJ,,,,,,,,,,庭院小农,开始缓慢下降了，是好兆头。归根到底是武汉当时没有及时采取防范措施，人们还相信专家所说的这个病毒人传人可能性很低，麻痹大意，很多感染者四处流荡，播撒病毒，才出现今天的后果。加油武汉！,2020-2-10 06:36,45,,,,
https://weibo.com/2615417307/ItuVzEWcJ,,,,,,,,,,淋凤堂堂主,哟几天前武汉领导不是说预计增加一千左右吗，怎么现在一天就涨这么多,2020-2-10 07:20,3,,,,
https://weibo.com/2615417307/ItuVzEWcJ,,,,,,,,,,西门桥的小怪,啥时候是个头啊。挑战极限吗？,2020-2-10 06:32,16,,,,
https://weibo.com/2615417307/ItuVzEWcJ,,,,,,,,,,安之茹素晴,不降了?那怎么劝人返工。,2020-2-10 06:48,,,,,
https://weibo.com/2615417307/ItuVzEWcJ,,,,,,,,,,菩提莲华子,南无阿弥陀佛🙏🙏🙏,2020-2-10 06:49,,,,,
https://weibo.com/2615417307/ItuVzEWcJ,,,,,,,,,,Pasty_flo,回复@你总是会有猫的:你看看外网会死啊,2020-2-10 10:46,,,,,
https://weibo.com/2615417307/ItuVzEWcJ,,,,,,,,,,Taycure阿鱼,评论里死🐴阴阳怪气的东西真多啊，我寻思数字变小不是好事吗？数字大你们要骂，数字小你们要怀疑，你们是长脑子了吗？,2020-2-10 08:24,3,,,,
https://weibo.com/2615417307/ItuVzEWcJ,,,,,,,,,,POS机免费代理,🙏🙏🙏中国🇨🇳挺住,2020-2-10 08:02,,,,,
https://weibo.com/2615417307/ItuVzEWcJ,,,,,,,,,,,,,,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,卖不出衣服的小哥哥,真nm好笑大学生有几个能统计清楚的而且敢上报的女孩子留化妆品留衣服的男的留鞋留衣服的贵的几千几万块钱你赔nm呢,2020-2-10 02:20,20647,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,不差球,拿非常时期说事的，我想说即使打仗时候我党也是不拿群众一针一线。真正把人民群众放在心上怎么会干出这种事！,2020-2-10 02:21,17422,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,能抱抱我吗___,毕业证一卡，谁敢说话！,2020-2-10 02:21,10168,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,夜半终有歌声__,今天我就把话撂这儿，事后100%不会按价赔偿,2020-2-10 02:21,10366,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,痞卡灰,等到开学网民忘记还核实？看谁敢来核实,2020-2-10 02:21,3301,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,asshole浪,歉意是最廉价的东西,2020-2-10 02:22,2899,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,遹昪,你在逗我？雖然不是我的學校但是設身處地想一下誰能接受,2020-2-10 02:22,2471,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,而言而语你言我语什么玩意儿,我投票的时候有十五个人支持，来人，把他们家东西都扔了房子征用,2020-2-10 02:21,1872,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,__592__,如果报三万学校会不会说勒索？？,2020-2-10 02:21,1480,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,原·野,一个搞教育的地方就是这么教学生处理事情的,2020-2-10 02:21,1491,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,是牛肉味儿的,不是手法粗暴，而是缺乏对人的基本尊重。,2020-2-10 02:24,855,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,扎根叶茂,怎么说呢！非学生寝室不可吗？那么多体育馆啥的，不能征用吗？,2020-2-10 02:24,689,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,木头本头,填报志愿黑名单,2020-2-10 02:21,607,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,白日不岁觉,我身为一个大学生，很清楚学校的套路，说一套做一套，事后肯定会说，你们身为大学生应该因为自己为社会为疫情做贡献而感到自豪，而不是想着补偿。或者原本你们应该无私做贡献，但考虑xxx我们学校还是决定给你们相应的补偿，不过学校的钱有限，所以每个人最多有xxx的补偿。,2020-2-10 03:36,642,,,,
https://weibo.com/2615417307/IttkRqZ0c,,,,,,,,,,,,,,,,,
https://weibo.com/2615417307/Itslf1xxL,,,,,,,,,,我的爱哭鬼何鑫鑫,还要加一条，人民日报23时报道有专家认为新型病毒为SARS，后被相关专家辟谣,2020-2-9 23:50,75,我的爱哭鬼何鑫鑫,"
                        我的爱哭鬼何鑫鑫：钟院士已经辟谣了，两者相似但有明显差异！最开始各大媒体发表的关于新冠就是SARS的新闻我第一时间转发到职工群，结果半小时后辟谣……一前一后都是官方发布，真让人心累。                    ",2020-2-10 00:06,5
https://weibo.com/2615417307/Itslf1xxL,,,,,,,,,,我的爱哭鬼何鑫鑫,还要加一条，人民日报23时报道有专家认为新型病毒为SARS，后被相关专家辟谣,2020-2-9 23:50,75,詠椿湫,"
                        詠椿湫：回复@起名好困难QAQ:因为传染性比SARS强，SARS感染人数也就两三千，新病毒目前已经至少5w了                    ",2020-2-10 00:18,3
https://weibo.com/2615417307/Itslf1xxL,,,,,,,,,,跟着小鹿笑一个吧,家里上了年纪的人，比如我爸，绝对不信只死了几百人，他说死了几百人会搞成这样？这么严重，政府这德行我比你清楚。我无法反驳,2020-2-10 00:07,35,一九四三丶丶丶,"
                        一九四三丶丶丶：你们去微博 肺炎求助超话 看看就知道你爸爸没说错了，因为武汉有很多人还没熬到确诊去世了，不然真不会搞得这么严重                    ",2020-2-10 01:17,22
